Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train set size: (45000, 4, 32, 32), Test set size: (5000, 4, 32, 32)
Train shape: (45000, 4, 32, 32) Test shape: (5000, 4, 32, 32)
Train y shape: (45000,) Test y shape: (5000,)
163.088 -140.152 1.11293
iter: 0 | TL: 3.166 | VL: 1.617 | Vacc: 0.381 | Ratio: 1.96 | Time: 732.6
iter: 1 | TL: 2.818 | VL: 1.505 | Vacc: 0.447 | Ratio: 1.87 | Time: 716.7
iter: 2 | TL: 2.573 | VL: 1.671 | Vacc: 0.455 | Ratio: 1.54 | Time: 686.2
iter: 3 | TL: 2.403 | VL: 1.182 | Vacc: 0.581 | Ratio: 2.03 | Time: 686.5
iter: 4 | TL: 2.283 | VL: 1.074 | Vacc: 0.633 | Ratio: 2.12 | Time: 686.3
iter: 5 | TL: 2.185 | VL: 1.004 | Vacc: 0.652 | Ratio: 2.18 | Time: 685.7
iter: 6 | TL: 2.1 | VL: 0.936 | Vacc: 0.684 | Ratio: 2.24 | Time: 685.9
iter: 7 | TL: 2.026 | VL: 0.881 | Vacc: 0.691 | Ratio: 2.3 | Time: 686.6
iter: 8 | TL: 1.958 | VL: 1.007 | Vacc: 0.665 | Ratio: 1.95 | Time: 677.2
iter: 9 | TL: 1.894 | VL: 0.946 | Vacc: 0.676 | Ratio: 2.0 | Time: 657.9
iter: 10 | TL: 1.831 | VL: 0.83 | Vacc: 0.723 | Ratio: 2.21 | Time: 661.9
iter: 11 | TL: 1.78 | VL: 0.729 | Vacc: 0.75 | Ratio: 2.44 | Time: 659.3
iter: 12 | TL: 1.722 | VL: 0.713 | Vacc: 0.755 | Ratio: 2.42 | Time: 665.6
iter: 13 | TL: 1.663 | VL: 0.728 | Vacc: 0.751 | Ratio: 2.28 | Time: 649.3
iter: 14 | TL: 1.612 | VL: 0.686 | Vacc: 0.759 | Ratio: 2.35 | Time: 663.5
iter: 15 | TL: 1.569 | VL: 0.63 | Vacc: 0.786 | Ratio: 2.49 | Time: 647.3
iter: 16 | TL: 1.515 | VL: 0.611 | Vacc: 0.787 | Ratio: 2.48 | Time: 682.2
iter: 17 | TL: 1.476 | VL: 0.626 | Vacc: 0.785 | Ratio: 2.36 | Time: 658.5
iter: 18 | TL: 1.438 | VL: 0.563 | Vacc: 0.804 | Ratio: 2.55 | Time: 664.9
iter: 19 | TL: 1.398 | VL: 0.574 | Vacc: 0.8 | Ratio: 2.44 | Time: 652.1
iter: 20 | TL: 1.357 | VL: 0.531 | Vacc: 0.817 | Ratio: 2.56 | Time: 635.8
iter: 21 | TL: 1.317 | VL: 0.573 | Vacc: 0.805 | Ratio: 2.3 | Time: 638.4
iter: 22 | TL: 1.284 | VL: 0.504 | Vacc: 0.827 | Ratio: 2.55 | Time: 663.0
iter: 23 | TL: 1.255 | VL: 0.488 | Vacc: 0.833 | Ratio: 2.57 | Time: 678.1
iter: 24 | TL: 1.226 | VL: 0.485 | Vacc: 0.833 | Ratio: 2.53 | Time: 681.1
iter: 25 | TL: 1.197 | VL: 0.529 | Vacc: 0.823 | Ratio: 2.26 | Time: 668.2
iter: 26 | TL: 1.16 | VL: 0.481 | Vacc: 0.838 | Ratio: 2.41 | Time: 683.3
iter: 27 | TL: 1.136 | VL: 0.516 | Vacc: 0.816 | Ratio: 2.2 | Time: 636.9
iter: 28 | TL: 1.111 | VL: 0.441 | Vacc: 0.851 | Ratio: 2.52 | Time: 649.9
iter: 29 | TL: 1.082 | VL: 0.47 | Vacc: 0.837 | Ratio: 2.3 | Time: 669.7
iter: 30 | TL: 1.061 | VL: 0.455 | Vacc: 0.848 | Ratio: 2.33 | Time: 666.2
iter: 31 | TL: 1.039 | VL: 0.454 | Vacc: 0.847 | Ratio: 2.29 | Time: 661.1
iter: 32 | TL: 1.016 | VL: 0.48 | Vacc: 0.841 | Ratio: 2.12 | Time: 659.5
iter: 33 | TL: 0.989 | VL: 0.448 | Vacc: 0.848 | Ratio: 2.21 | Time: 653.7
iter: 34 | TL: 0.971 | VL: 0.417 | Vacc: 0.852 | Ratio: 2.33 | Time: 669.0
iter: 35 | TL: 0.95 | VL: 0.429 | Vacc: 0.858 | Ratio: 2.22 | Time: 673.7
iter: 36 | TL: 0.929 | VL: 0.449 | Vacc: 0.852 | Ratio: 2.07 | Time: 656.0
iter: 37 | TL: 0.909 | VL: 0.378 | Vacc: 0.868 | Ratio: 2.4 | Time: 630.4
iter: 38 | TL: 0.89 | VL: 0.37 | Vacc: 0.872 | Ratio: 2.4 | Time: 633.5
iter: 39 | TL: 0.875 | VL: 0.428 | Vacc: 0.856 | Ratio: 2.04 | Time: 630.1
iter: 40 | TL: 0.856 | VL: 0.415 | Vacc: 0.857 | Ratio: 2.06 | Time: 637.9
iter: 41 | TL: 0.841 | VL: 0.396 | Vacc: 0.868 | Ratio: 2.12 | Time: 596.6
iter: 42 | TL: 0.828 | VL: 0.344 | Vacc: 0.884 | Ratio: 2.4 | Time: 639.6
iter: 43 | TL: 0.803 | VL: 0.368 | Vacc: 0.877 | Ratio: 2.18 | Time: 661.2
iter: 44 | TL: 0.789 | VL: 0.412 | Vacc: 0.868 | Ratio: 1.91 | Time: 654.2
iter: 45 | TL: 0.778 | VL: 0.4 | Vacc: 0.868 | Ratio: 1.95 | Time: 671.7
iter: 46 | TL: 0.761 | VL: 0.417 | Vacc: 0.861 | Ratio: 1.83 | Time: 643.8
iter: 47 | TL: 0.748 | VL: 0.334 | Vacc: 0.892 | Ratio: 2.24 | Time: 675.0
iter: 48 | TL: 0.737 | VL: 0.373 | Vacc: 0.874 | Ratio: 1.98 | Time: 644.2
iter: 49 | TL: 0.72 | VL: 0.384 | Vacc: 0.873 | Ratio: 1.88 | Time: 640.2
iter: 50 | TL: 0.709 | VL: 0.385 | Vacc: 0.876 | Ratio: 1.84 | Time: 638.2
iter: 51 | TL: 0.695 | VL: 0.367 | Vacc: 0.877 | Ratio: 1.89 | Time: 631.5
iter: 52 | TL: 0.685 | VL: 0.358 | Vacc: 0.883 | Ratio: 1.92 | Time: 642.3
iter: 53 | TL: 0.675 | VL: 0.351 | Vacc: 0.885 | Ratio: 1.92 | Time: 644.6
iter: 54 | TL: 0.662 | VL: 0.323 | Vacc: 0.887 | Ratio: 2.05 | Time: 672.2
iter: 55 | TL: 0.654 | VL: 0.383 | Vacc: 0.875 | Ratio: 1.71 | Time: 668.7
iter: 56 | TL: 0.639 | VL: 0.336 | Vacc: 0.89 | Ratio: 1.9 | Time: 660.8
iter: 57 | TL: 0.632 | VL: 0.379 | Vacc: 0.884 | Ratio: 1.67 | Time: 668.2
iter: 58 | TL: 0.626 | VL: 0.359 | Vacc: 0.888 | Ratio: 1.74 | Time: 672.8
iter: 59 | TL: 0.62 | VL: 0.336 | Vacc: 0.889 | Ratio: 1.85 | Time: 671.3
iter: 60 | TL: 0.604 | VL: 0.335 | Vacc: 0.889 | Ratio: 1.8 | Time: 670.1
iter: 61 | TL: 0.6 | VL: 0.37 | Vacc: 0.881 | Ratio: 1.62 | Time: 669.7
iter: 62 | TL: 0.586 | VL: 0.341 | Vacc: 0.89 | Ratio: 1.72 | Time: 664.4
iter: 63 | TL: 0.578 | VL: 0.334 | Vacc: 0.892 | Ratio: 1.73 | Time: 670.1
iter: 64 | TL: 0.573 | VL: 0.366 | Vacc: 0.883 | Ratio: 1.57 | Time: 666.9
iter: 65 | TL: 0.566 | VL: 0.349 | Vacc: 0.89 | Ratio: 1.62 | Time: 668.7
iter: 66 | TL: 0.555 | VL: 0.339 | Vacc: 0.893 | Ratio: 1.64 | Time: 666.6
iter: 67 | TL: 0.548 | VL: 0.365 | Vacc: 0.887 | Ratio: 1.5 | Time: 662.7
iter: 68 | TL: 0.549 | VL: 0.319 | Vacc: 0.89 | Ratio: 1.72 | Time: 670.8
iter: 69 | TL: 0.533 | VL: 0.306 | Vacc: 0.896 | Ratio: 1.74 | Time: 663.1
iter: 70 | TL: 0.531 | VL: 0.332 | Vacc: 0.895 | Ratio: 1.6 | Time: 672.6
iter: 71 | TL: 0.525 | VL: 0.333 | Vacc: 0.899 | Ratio: 1.58 | Time: 670.8
iter: 72 | TL: 0.514 | VL: 0.33 | Vacc: 0.897 | Ratio: 1.56 | Time: 663.4
iter: 73 | TL: 0.512 | VL: 0.296 | Vacc: 0.907 | Ratio: 1.73 | Time: 670.0
iter: 74 | TL: 0.506 | VL: 0.309 | Vacc: 0.902 | Ratio: 1.64 | Time: 669.3
iter: 75 | TL: 0.501 | VL: 0.352 | Vacc: 0.894 | Ratio: 1.42 | Time: 664.4
iter: 76 | TL: 0.499 | VL: 0.33 | Vacc: 0.892 | Ratio: 1.51 | Time: 661.6
iter: 77 | TL: 0.486 | VL: 0.317 | Vacc: 0.9 | Ratio: 1.53 | Time: 621.5
iter: 78 | TL: 0.483 | VL: 0.315 | Vacc: 0.898 | Ratio: 1.53 | Time: 581.4
iter: 79 | TL: 0.482 | VL: 0.371 | Vacc: 0.885 | Ratio: 1.3 | Time: 575.5
iter: 80 | TL: 0.477 | VL: 0.318 | Vacc: 0.9 | Ratio: 1.5 | Time: 595.8
iter: 81 | TL: 0.473 | VL: 0.317 | Vacc: 0.897 | Ratio: 1.49 | Time: 567.4
iter: 82 | TL: 0.467 | VL: 0.347 | Vacc: 0.896 | Ratio: 1.35 | Time: 563.8
iter: 83 | TL: 0.462 | VL: 0.298 | Vacc: 0.906 | Ratio: 1.55 | Time: 580.3
iter: 84 | TL: 0.455 | VL: 0.371 | Vacc: 0.893 | Ratio: 1.23 | Time: 663.1
iter: 85 | TL: 0.457 | VL: 0.336 | Vacc: 0.899 | Ratio: 1.36 | Time: 668.3
iter: 86 | TL: 0.456 | VL: 0.305 | Vacc: 0.898 | Ratio: 1.49 | Time: 670.8
iter: 87 | TL: 0.445 | VL: 0.312 | Vacc: 0.901 | Ratio: 1.43 | Time: 672.1
iter: 88 | TL: 0.445 | VL: 0.355 | Vacc: 0.896 | Ratio: 1.25 | Time: 669.8
iter: 89 | TL: 0.438 | VL: 0.301 | Vacc: 0.905 | Ratio: 1.45 | Time: 665.7
iter: 90 | TL: 0.44 | VL: 0.341 | Vacc: 0.898 | Ratio: 1.29 | Time: 667.8
iter: 91 | TL: 0.433 | VL: 0.379 | Vacc: 0.888 | Ratio: 1.14 | Time: 673.0
iter: 92 | TL: 0.435 | VL: 0.321 | Vacc: 0.9 | Ratio: 1.35 | Time: 673.2
iter: 93 | TL: 0.43 | VL: 0.31 | Vacc: 0.904 | Ratio: 1.39 | Time: 667.9
iter: 94 | TL: 0.427 | VL: 0.323 | Vacc: 0.905 | Ratio: 1.32 | Time: 670.1
iter: 95 | TL: 0.421 | VL: 0.321 | Vacc: 0.897 | Ratio: 1.31 | Time: 667.9
iter: 96 | TL: 0.421 | VL: 0.321 | Vacc: 0.903 | Ratio: 1.31 | Time: 665.5
iter: 97 | TL: 0.415 | VL: 0.348 | Vacc: 0.897 | Ratio: 1.19 | Time: 667.0
iter: 98 | TL: 0.427 | VL: 0.325 | Vacc: 0.902 | Ratio: 1.31 | Time: 666.1
iter: 99 | TL: 0.419 | VL: 0.307 | Vacc: 0.907 | Ratio: 1.36 | Time: 666.6
Final Acc: 0.907239
