Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train shape: (45000, 4, 32, 32) Test shape: (5000, 4, 32, 32)
Train y shape: (45000,) Test y shape: (5000,)
163.088 -140.152 1.11293
iter: 0 | TL: 3.167 | VL: 1.606 | Vacc: 0.392 | Ratio: 1.97 | Time: 1054.1
iter: 1 | TL: 2.817 | VL: 1.525 | Vacc: 0.458 | Ratio: 1.85 | Time: 1095.3
iter: 2 | TL: 2.624 | VL: 1.466 | Vacc: 0.504 | Ratio: 1.79 | Time: 1101.9
iter: 3 | TL: 2.459 | VL: 1.296 | Vacc: 0.562 | Ratio: 1.9 | Time: 1097.9
iter: 4 | TL: 2.319 | VL: 1.104 | Vacc: 0.619 | Ratio: 2.1 | Time: 1097.4
iter: 5 | TL: 2.206 | VL: 1.027 | Vacc: 0.641 | Ratio: 2.15 | Time: 1098.0
iter: 6 | TL: 2.112 | VL: 1.041 | Vacc: 0.64 | Ratio: 2.03 | Time: 1099.0
iter: 7 | TL: 2.027 | VL: 1.116 | Vacc: 0.652 | Ratio: 1.82 | Time: 1091.8
iter: 8 | TL: 1.946 | VL: 0.833 | Vacc: 0.712 | Ratio: 2.34 | Time: 1094.3
iter: 9 | TL: 1.868 | VL: 0.778 | Vacc: 0.734 | Ratio: 2.4 | Time: 1087.5
iter: 10 | TL: 1.801 | VL: 0.777 | Vacc: 0.736 | Ratio: 2.32 | Time: 1099.6
iter: 11 | TL: 1.736 | VL: 0.664 | Vacc: 0.771 | Ratio: 2.62 | Time: 1105.9
iter: 12 | TL: 1.678 | VL: 0.656 | Vacc: 0.769 | Ratio: 2.56 | Time: 1096.8
iter: 13 | TL: 1.619 | VL: 0.671 | Vacc: 0.773 | Ratio: 2.41 | Time: 1091.7
iter: 14 | TL: 1.572 | VL: 0.687 | Vacc: 0.77 | Ratio: 2.29 | Time: 1097.6
iter: 15 | TL: 1.523 | VL: 0.641 | Vacc: 0.788 | Ratio: 2.38 | Time: 1095.5
iter: 16 | TL: 1.482 | VL: 0.622 | Vacc: 0.794 | Ratio: 2.38 | Time: 1099.1
iter: 17 | TL: 1.437 | VL: 0.63 | Vacc: 0.787 | Ratio: 2.28 | Time: 1084.5
