Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train shape: (45000, 3, 32, 32) Test shape: (5000, 3, 32, 32)
Train y shape: (45000,) Test y shape: (5000,)
155.034 -140.152 2.35251e-06
iter: 0 | TL: 3.159 | VL: 2.468 | Vacc: 0.26 | Ratio: 1.28 | Time: 858.7
iter: 1 | TL: 2.782 | VL: 1.315 | Vacc: 0.515 | Ratio: 2.12 | Time: 864.4
iter: 2 | TL: 2.532 | VL: 1.242 | Vacc: 0.55 | Ratio: 2.04 | Time: 864.7
iter: 3 | TL: 2.385 | VL: 1.046 | Vacc: 0.628 | Ratio: 2.28 | Time: 860.8
iter: 4 | TL: 2.272 | VL: 1.001 | Vacc: 0.651 | Ratio: 2.27 | Time: 865.0
iter: 5 | TL: 2.18 | VL: 0.955 | Vacc: 0.665 | Ratio: 2.28 | Time: 865.6
iter: 6 | TL: 2.095 | VL: 0.927 | Vacc: 0.67 | Ratio: 2.26 | Time: 862.7
iter: 7 | TL: 2.024 | VL: 0.814 | Vacc: 0.708 | Ratio: 2.49 | Time: 859.9
iter: 8 | TL: 1.953 | VL: 0.838 | Vacc: 0.71 | Ratio: 2.33 | Time: 858.1
iter: 9 | TL: 1.887 | VL: 0.816 | Vacc: 0.714 | Ratio: 2.31 | Time: 829.8
iter: 10 | TL: 1.822 | VL: 0.816 | Vacc: 0.712 | Ratio: 2.23 | Time: 828.9
iter: 11 | TL: 1.76 | VL: 0.734 | Vacc: 0.752 | Ratio: 2.4 | Time: 832.8
iter: 12 | TL: 1.702 | VL: 0.718 | Vacc: 0.756 | Ratio: 2.37 | Time: 848.6
iter: 13 | TL: 1.641 | VL: 0.644 | Vacc: 0.782 | Ratio: 2.55 | Time: 866.8
iter: 14 | TL: 1.593 | VL: 0.651 | Vacc: 0.777 | Ratio: 2.45 | Time: 865.0
iter: 15 | TL: 1.55 | VL: 0.65 | Vacc: 0.775 | Ratio: 2.38 | Time: 868.8
iter: 16 | TL: 1.504 | VL: 0.624 | Vacc: 0.787 | Ratio: 2.41 | Time: 866.4
iter: 17 | TL: 1.455 | VL: 0.577 | Vacc: 0.804 | Ratio: 2.52 | Time: 866.2
iter: 18 | TL: 1.417 | VL: 0.596 | Vacc: 0.791 | Ratio: 2.38 | Time: 864.9
iter: 19 | TL: 1.379 | VL: 0.516 | Vacc: 0.827 | Ratio: 2.67 | Time: 868.2
iter: 20 | TL: 1.341 | VL: 0.568 | Vacc: 0.814 | Ratio: 2.36 | Time: 868.8
