Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train set size: (45000, 3, 32, 32), Test set size: (5000, 3, 32, 32)
Train shape: (22500, 3, 32, 32) Test shape: (2500, 3, 32, 32)
Train y shape: (22500,) Test y shape: (2500,)
155.034 -140.152 -0.214216
iter: 0 | TL: 3.316 | VL: 1.983 | Vacc: 0.254 | Ratio: 1.67 | Time: 302.9
iter: 1 | TL: 3.009 | VL: 1.894 | Vacc: 0.33 | Ratio: 1.59 | Time: 321.3
iter: 2 | TL: 2.865 | VL: 1.861 | Vacc: 0.371 | Ratio: 1.54 | Time: 308.3
iter: 3 | TL: 2.743 | VL: 1.502 | Vacc: 0.473 | Ratio: 1.83 | Time: 306.0
iter: 4 | TL: 2.638 | VL: 1.353 | Vacc: 0.526 | Ratio: 1.95 | Time: 304.7
iter: 5 | TL: 2.541 | VL: 1.232 | Vacc: 0.566 | Ratio: 2.06 | Time: 306.5
iter: 6 | TL: 2.452 | VL: 1.236 | Vacc: 0.58 | Ratio: 1.98 | Time: 303.8
iter: 7 | TL: 2.365 | VL: 1.201 | Vacc: 0.605 | Ratio: 1.97 | Time: 304.9
iter: 8 | TL: 2.314 | VL: 1.118 | Vacc: 0.609 | Ratio: 2.07 | Time: 301.8
iter: 9 | TL: 2.245 | VL: 1.089 | Vacc: 0.632 | Ratio: 2.06 | Time: 295.6
iter: 10 | TL: 2.204 | VL: 1.164 | Vacc: 0.605 | Ratio: 1.89 | Time: 290.6
iter: 11 | TL: 2.166 | VL: 1.055 | Vacc: 0.635 | Ratio: 2.05 | Time: 289.8
iter: 12 | TL: 2.123 | VL: 0.961 | Vacc: 0.666 | Ratio: 2.21 | Time: 290.7
iter: 13 | TL: 2.08 | VL: 0.94 | Vacc: 0.686 | Ratio: 2.21 | Time: 292.3
iter: 14 | TL: 2.048 | VL: 0.85 | Vacc: 0.705 | Ratio: 2.41 | Time: 296.0
iter: 15 | TL: 2.007 | VL: 0.828 | Vacc: 0.712 | Ratio: 2.42 | Time: 295.4
iter: 16 | TL: 1.97 | VL: 0.972 | Vacc: 0.686 | Ratio: 2.03 | Time: 299.9
iter: 17 | TL: 1.93 | VL: 0.851 | Vacc: 0.707 | Ratio: 2.27 | Time: 325.6
iter: 18 | TL: 1.899 | VL: 0.843 | Vacc: 0.717 | Ratio: 2.25 | Time: 380.7
iter: 19 | TL: 1.865 | VL: 0.848 | Vacc: 0.707 | Ratio: 2.2 | Time: 379.5
iter: 20 | TL: 1.838 | VL: 0.794 | Vacc: 0.723 | Ratio: 2.31 | Time: 352.0
iter: 21 | TL: 1.805 | VL: 0.835 | Vacc: 0.72 | Ratio: 2.16 | Time: 292.8
iter: 22 | TL: 1.775 | VL: 0.751 | Vacc: 0.747 | Ratio: 2.36 | Time: 292.9
iter: 23 | TL: 1.747 | VL: 0.778 | Vacc: 0.74 | Ratio: 2.24 | Time: 295.9
iter: 24 | TL: 1.719 | VL: 0.757 | Vacc: 0.743 | Ratio: 2.27 | Time: 295.5
iter: 25 | TL: 1.69 | VL: 0.813 | Vacc: 0.729 | Ratio: 2.08 | Time: 307.7
iter: 26 | TL: 1.66 | VL: 0.649 | Vacc: 0.767 | Ratio: 2.56 | Time: 327.7
iter: 27 | TL: 1.629 | VL: 0.723 | Vacc: 0.775 | Ratio: 2.25 | Time: 329.8
iter: 28 | TL: 1.606 | VL: 0.739 | Vacc: 0.755 | Ratio: 2.17 | Time: 324.2
iter: 29 | TL: 1.577 | VL: 0.686 | Vacc: 0.771 | Ratio: 2.3 | Time: 325.7
iter: 30 | TL: 1.548 | VL: 0.653 | Vacc: 0.784 | Ratio: 2.37 | Time: 324.4
iter: 31 | TL: 1.53 | VL: 0.618 | Vacc: 0.79 | Ratio: 2.48 | Time: 326.3
iter: 32 | TL: 1.499 | VL: 0.575 | Vacc: 0.807 | Ratio: 2.61 | Time: 326.6
iter: 33 | TL: 1.473 | VL: 0.652 | Vacc: 0.791 | Ratio: 2.26 | Time: 325.9
iter: 34 | TL: 1.453 | VL: 0.584 | Vacc: 0.802 | Ratio: 2.49 | Time: 324.9
iter: 35 | TL: 1.436 | VL: 0.662 | Vacc: 0.785 | Ratio: 2.17 | Time: 326.2
iter: 36 | TL: 1.401 | VL: 0.574 | Vacc: 0.814 | Ratio: 2.44 | Time: 326.8
iter: 37 | TL: 1.385 | VL: 0.584 | Vacc: 0.811 | Ratio: 2.37 | Time: 324.9
iter: 38 | TL: 1.363 | VL: 0.622 | Vacc: 0.792 | Ratio: 2.19 | Time: 326.3
iter: 39 | TL: 1.347 | VL: 0.623 | Vacc: 0.809 | Ratio: 2.16 | Time: 328.3
iter: 40 | TL: 1.326 | VL: 0.548 | Vacc: 0.823 | Ratio: 2.42 | Time: 325.6
iter: 41 | TL: 1.307 | VL: 0.559 | Vacc: 0.822 | Ratio: 2.34 | Time: 325.6
iter: 42 | TL: 1.289 | VL: 0.542 | Vacc: 0.827 | Ratio: 2.38 | Time: 329.2
iter: 43 | TL: 1.265 | VL: 0.573 | Vacc: 0.822 | Ratio: 2.21 | Time: 326.4
iter: 44 | TL: 1.25 | VL: 0.589 | Vacc: 0.817 | Ratio: 2.12 | Time: 325.7
iter: 45 | TL: 1.228 | VL: 0.558 | Vacc: 0.827 | Ratio: 2.2 | Time: 323.7
iter: 46 | TL: 1.216 | VL: 0.499 | Vacc: 0.834 | Ratio: 2.44 | Time: 320.7
iter: 47 | TL: 1.192 | VL: 0.506 | Vacc: 0.838 | Ratio: 2.36 | Time: 320.1
iter: 48 | TL: 1.183 | VL: 0.578 | Vacc: 0.827 | Ratio: 2.05 | Time: 317.8
iter: 49 | TL: 1.157 | VL: 0.546 | Vacc: 0.829 | Ratio: 2.12 | Time: 321.2
iter: 50 | TL: 1.154 | VL: 0.575 | Vacc: 0.829 | Ratio: 2.01 | Time: 315.3
iter: 51 | TL: 1.129 | VL: 0.501 | Vacc: 0.838 | Ratio: 2.25 | Time: 324.4
iter: 52 | TL: 1.119 | VL: 0.584 | Vacc: 0.812 | Ratio: 1.91 | Time: 317.7
iter: 53 | TL: 1.109 | VL: 0.479 | Vacc: 0.841 | Ratio: 2.32 | Time: 316.7
iter: 54 | TL: 1.1 | VL: 0.517 | Vacc: 0.834 | Ratio: 2.13 | Time: 315.3
iter: 55 | TL: 1.069 | VL: 0.49 | Vacc: 0.848 | Ratio: 2.18 | Time: 318.3
iter: 56 | TL: 1.066 | VL: 0.519 | Vacc: 0.841 | Ratio: 2.05 | Time: 315.6
iter: 57 | TL: 1.044 | VL: 0.481 | Vacc: 0.841 | Ratio: 2.17 | Time: 316.2
iter: 58 | TL: 1.034 | VL: 0.543 | Vacc: 0.85 | Ratio: 1.9 | Time: 314.3
iter: 59 | TL: 1.026 | VL: 0.592 | Vacc: 0.823 | Ratio: 1.73 | Time: 314.2
iter: 60 | TL: 1.006 | VL: 0.473 | Vacc: 0.854 | Ratio: 2.13 | Time: 315.4
iter: 61 | TL: 0.993 | VL: 0.505 | Vacc: 0.839 | Ratio: 1.97 | Time: 316.1
iter: 62 | TL: 0.986 | VL: 0.512 | Vacc: 0.84 | Ratio: 1.93 | Time: 313.6
iter: 63 | TL: 0.972 | VL: 0.538 | Vacc: 0.844 | Ratio: 1.81 | Time: 315.5
iter: 64 | TL: 0.957 | VL: 0.507 | Vacc: 0.834 | Ratio: 1.89 | Time: 314.2
iter: 65 | TL: 0.945 | VL: 0.483 | Vacc: 0.846 | Ratio: 1.96 | Time: 314.4
iter: 66 | TL: 0.94 | VL: 0.466 | Vacc: 0.857 | Ratio: 2.02 | Time: 315.0
iter: 67 | TL: 0.92 | VL: 0.552 | Vacc: 0.836 | Ratio: 1.67 | Time: 314.1
iter: 68 | TL: 0.911 | VL: 0.569 | Vacc: 0.84 | Ratio: 1.6 | Time: 315.8
iter: 69 | TL: 0.9 | VL: 0.487 | Vacc: 0.846 | Ratio: 1.85 | Time: 315.4
iter: 70 | TL: 0.896 | VL: 0.493 | Vacc: 0.85 | Ratio: 1.82 | Time: 314.7
iter: 71 | TL: 0.885 | VL: 0.486 | Vacc: 0.855 | Ratio: 1.82 | Time: 315.9
iter: 72 | TL: 0.869 | VL: 0.455 | Vacc: 0.849 | Ratio: 1.91 | Time: 314.8
iter: 73 | TL: 0.861 | VL: 0.442 | Vacc: 0.861 | Ratio: 1.95 | Time: 314.7
iter: 74 | TL: 0.841 | VL: 0.464 | Vacc: 0.862 | Ratio: 1.81 | Time: 317.5
iter: 75 | TL: 0.84 | VL: 0.518 | Vacc: 0.844 | Ratio: 1.62 | Time: 316.3
iter: 76 | TL: 0.835 | VL: 0.539 | Vacc: 0.845 | Ratio: 1.55 | Time: 315.7
iter: 77 | TL: 0.821 | VL: 0.426 | Vacc: 0.869 | Ratio: 1.93 | Time: 316.9
iter: 78 | TL: 0.815 | VL: 0.542 | Vacc: 0.846 | Ratio: 1.5 | Time: 314.2
iter: 79 | TL: 0.805 | VL: 0.448 | Vacc: 0.862 | Ratio: 1.8 | Time: 314.7
iter: 80 | TL: 0.798 | VL: 0.481 | Vacc: 0.86 | Ratio: 1.66 | Time: 316.3
iter: 81 | TL: 0.787 | VL: 0.441 | Vacc: 0.862 | Ratio: 1.79 | Time: 315.4
iter: 82 | TL: 0.771 | VL: 0.46 | Vacc: 0.861 | Ratio: 1.68 | Time: 320.5
