Using gpu device 1: Tesla K40m (CNMeM is disabled, cuDNN 4007)
Using wide ResNet with depth 18 and width 8.
ResBlock1 output size: (None, 128, 32, 32)
Train shape: (4500, 3, 32, 32) Test shape: (500, 3, 32, 32)
Train y shape: (4500,) Test y shape: (500,)
156.64 -140.889 -6.62344e-07
iter: 0 | TL: 12.763 | VL: 2.106 | Vacc: 0.207 | Ratio: 6.06 | Time: 489.0
iter: 1 | TL: 12.428 | VL: 2.441 | Vacc: 0.206 | Ratio: 5.09 | Time: 489.2
iter: 2 | TL: 12.282 | VL: 2.948 | Vacc: 0.19 | Ratio: 4.17 | Time: 489.0
iter: 3 | TL: 12.177 | VL: 1.845 | Vacc: 0.346 | Ratio: 6.6 | Time: 487.2
iter: 4 | TL: 12.076 | VL: 1.612 | Vacc: 0.428 | Ratio: 7.49 | Time: 486.9
iter: 5 | TL: 11.985 | VL: 1.898 | Vacc: 0.371 | Ratio: 6.31 | Time: 487.1
iter: 6 | TL: 11.889 | VL: 1.766 | Vacc: 0.412 | Ratio: 6.73 | Time: 487.1
iter: 7 | TL: 11.794 | VL: 2.602 | Vacc: 0.309 | Ratio: 4.53 | Time: 487.1
iter: 8 | TL: 11.75 | VL: 2.297 | Vacc: 0.39 | Ratio: 5.12 | Time: 487.2
iter: 9 | TL: 11.681 | VL: 1.554 | Vacc: 0.469 | Ratio: 7.52 | Time: 487.1
iter: 10 | TL: 12.216 | VL: 3.956 | Vacc: 0.227 | Ratio: 3.09 | Time: 487.0
iter: 11 | TL: 11.623 | VL: 2.284 | Vacc: 0.28 | Ratio: 5.09 | Time: 487.0
iter: 12 | TL: 11.214 | VL: 1.65 | Vacc: 0.447 | Ratio: 6.8 | Time: 487.0
iter: 13 | TL: 10.83 | VL: 1.477 | Vacc: 0.488 | Ratio: 7.33 | Time: 487.0
iter: 14 | TL: 10.469 | VL: 1.94 | Vacc: 0.422 | Ratio: 5.4 | Time: 487.0
iter: 15 | TL: 10.128 | VL: 1.421 | Vacc: 0.53 | Ratio: 7.13 | Time: 487.0
iter: 16 | TL: 9.819 | VL: 1.365 | Vacc: 0.535 | Ratio: 7.2 | Time: 487.0
iter: 17 | TL: 9.528 | VL: 1.476 | Vacc: 0.531 | Ratio: 6.45 | Time: 486.9
iter: 18 | TL: 9.271 | VL: 1.319 | Vacc: 0.54 | Ratio: 7.03 | Time: 487.0
iter: 19 | TL: 8.965 | VL: 2.099 | Vacc: 0.445 | Ratio: 4.27 | Time: 487.1
iter: 20 | TL: 8.742 | VL: 1.845 | Vacc: 0.5 | Ratio: 4.74 | Time: 487.1
iter: 21 | TL: 8.49 | VL: 1.91 | Vacc: 0.492 | Ratio: 4.45 | Time: 487.3
iter: 22 | TL: 8.286 | VL: 1.851 | Vacc: 0.498 | Ratio: 4.48 | Time: 487.2
iter: 23 | TL: 8.03 | VL: 1.076 | Vacc: 0.646 | Ratio: 7.47 | Time: 487.1
iter: 24 | TL: 7.817 | VL: 1.407 | Vacc: 0.575 | Ratio: 5.55 | Time: 487.1
iter: 25 | TL: 7.608 | VL: 1.431 | Vacc: 0.565 | Ratio: 5.32 | Time: 487.1
iter: 26 | TL: 7.366 | VL: 1.893 | Vacc: 0.473 | Ratio: 3.89 | Time: 487.1
iter: 27 | TL: 7.187 | VL: 1.324 | Vacc: 0.611 | Ratio: 5.43 | Time: 487.1
iter: 28 | TL: 6.994 | VL: 1.452 | Vacc: 0.574 | Ratio: 4.82 | Time: 487.2
iter: 29 | TL: 6.781 | VL: 1.233 | Vacc: 0.62 | Ratio: 5.5 | Time: 487.2
iter: 30 | TL: 6.595 | VL: 1.384 | Vacc: 0.605 | Ratio: 4.77 | Time: 487.2
iter: 31 | TL: 6.445 | VL: 2.392 | Vacc: 0.402 | Ratio: 2.69 | Time: 487.1
iter: 32 | TL: 6.263 | VL: 1.174 | Vacc: 0.637 | Ratio: 5.34 | Time: 487.0
iter: 33 | TL: 6.093 | VL: 1.393 | Vacc: 0.604 | Ratio: 4.37 | Time: 486.8
iter: 34 | TL: 5.929 | VL: 1.188 | Vacc: 0.657 | Ratio: 4.99 | Time: 487.0
iter: 35 | TL: 5.75 | VL: 1.317 | Vacc: 0.612 | Ratio: 4.36 | Time: 486.9
iter: 36 | TL: 5.608 | VL: 1.552 | Vacc: 0.552 | Ratio: 3.61 | Time: 486.9
iter: 37 | TL: 5.454 | VL: 1.267 | Vacc: 0.622 | Ratio: 4.31 | Time: 487.0
iter: 38 | TL: 5.337 | VL: 1.089 | Vacc: 0.665 | Ratio: 4.9 | Time: 487.0
iter: 39 | TL: 5.179 | VL: 1.186 | Vacc: 0.643 | Ratio: 4.37 | Time: 486.9
iter: 40 | TL: 5.048 | VL: 1.407 | Vacc: 0.611 | Ratio: 3.59 | Time: 486.9
iter: 41 | TL: 4.886 | VL: 1.615 | Vacc: 0.636 | Ratio: 3.03 | Time: 486.9
iter: 42 | TL: 4.786 | VL: 1.274 | Vacc: 0.67 | Ratio: 3.76 | Time: 486.9
iter: 43 | TL: 4.673 | VL: 1.651 | Vacc: 0.579 | Ratio: 2.83 | Time: 486.8
iter: 44 | TL: 4.563 | VL: 1.166 | Vacc: 0.669 | Ratio: 3.91 | Time: 486.9
iter: 45 | TL: 4.429 | VL: 1.527 | Vacc: 0.655 | Ratio: 2.9 | Time: 487.0
iter: 46 | TL: 4.325 | VL: 1.611 | Vacc: 0.647 | Ratio: 2.68 | Time: 487.0
iter: 47 | TL: 4.205 | VL: 1.389 | Vacc: 0.641 | Ratio: 3.03 | Time: 487.0
iter: 48 | TL: 4.119 | VL: 1.733 | Vacc: 0.649 | Ratio: 2.38 | Time: 486.8
iter: 49 | TL: 3.976 | VL: 1.217 | Vacc: 0.647 | Ratio: 3.27 | Time: 486.8
iter: 50 | TL: 3.911 | VL: 1.65 | Vacc: 0.654 | Ratio: 2.37 | Time: 486.8
iter: 51 | TL: 3.83 | VL: 1.831 | Vacc: 0.612 | Ratio: 2.09 | Time: 486.7
iter: 52 | TL: 3.69 | VL: 1.479 | Vacc: 0.693 | Ratio: 2.49 | Time: 486.9
iter: 53 | TL: 3.621 | VL: 1.417 | Vacc: 0.656 | Ratio: 2.56 | Time: 486.9
