Using gpu device 0: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train set size: (45000, 131, 32, 32), Test set size: (5000, 131, 32, 32)
Train shape: (22500, 131, 32, 32) Test shape: (2500, 131, 32, 32)
Train y shape: (22500,) Test y shape: (2500,)
255.0 -140.152 18.7364
iter: 0 | TL: 3.275 | VL: 1.867 | Vacc: 0.282 | Ratio: 1.75 | Time: 470.8
iter: 1 | TL: 3.026 | VL: 1.783 | Vacc: 0.311 | Ratio: 1.7 | Time: 467.8
iter: 2 | TL: 2.886 | VL: 1.497 | Vacc: 0.436 | Ratio: 1.93 | Time: 465.5
iter: 3 | TL: 2.767 | VL: 1.544 | Vacc: 0.439 | Ratio: 1.79 | Time: 462.3
iter: 4 | TL: 2.674 | VL: 1.624 | Vacc: 0.446 | Ratio: 1.65 | Time: 467.1
iter: 5 | TL: 2.584 | VL: 1.459 | Vacc: 0.508 | Ratio: 1.77 | Time: 466.0
iter: 6 | TL: 2.488 | VL: 1.36 | Vacc: 0.511 | Ratio: 1.83 | Time: 465.0
iter: 7 | TL: 2.42 | VL: 1.201 | Vacc: 0.588 | Ratio: 2.02 | Time: 465.6
iter: 8 | TL: 2.35 | VL: 1.213 | Vacc: 0.579 | Ratio: 1.94 | Time: 464.3
iter: 9 | TL: 2.281 | VL: 1.166 | Vacc: 0.603 | Ratio: 1.96 | Time: 466.9
iter: 10 | TL: 2.22 | VL: 1.012 | Vacc: 0.645 | Ratio: 2.19 | Time: 467.6
iter: 11 | TL: 2.173 | VL: 1.004 | Vacc: 0.643 | Ratio: 2.17 | Time: 466.6
iter: 12 | TL: 2.128 | VL: 0.954 | Vacc: 0.662 | Ratio: 2.23 | Time: 466.8
iter: 13 | TL: 2.087 | VL: 0.93 | Vacc: 0.684 | Ratio: 2.24 | Time: 504.8
iter: 14 | TL: 2.046 | VL: 0.936 | Vacc: 0.681 | Ratio: 2.19 | Time: 628.9
iter: 15 | TL: 2.007 | VL: 1.025 | Vacc: 0.661 | Ratio: 1.96 | Time: 642.7
iter: 16 | TL: 1.97 | VL: 0.867 | Vacc: 0.702 | Ratio: 2.27 | Time: 703.9
iter: 17 | TL: 1.936 | VL: 0.941 | Vacc: 0.672 | Ratio: 2.06 | Time: 683.7
iter: 18 | TL: 1.9 | VL: 0.916 | Vacc: 0.704 | Ratio: 2.08 | Time: 1164.5
iter: 19 | TL: 1.861 | VL: 0.972 | Vacc: 0.683 | Ratio: 1.92 | Time: 1178.7
iter: 20 | TL: 1.827 | VL: 0.82 | Vacc: 0.725 | Ratio: 2.23 | Time: 1171.4
iter: 21 | TL: 1.794 | VL: 0.778 | Vacc: 0.736 | Ratio: 2.31 | Time: 1158.6
iter: 22 | TL: 1.764 | VL: 0.731 | Vacc: 0.748 | Ratio: 2.41 | Time: 1171.0
iter: 23 | TL: 1.734 | VL: 0.787 | Vacc: 0.75 | Ratio: 2.2 | Time: 1170.1
iter: 24 | TL: 1.703 | VL: 0.78 | Vacc: 0.736 | Ratio: 2.18 | Time: 1185.1
iter: 25 | TL: 1.673 | VL: 0.696 | Vacc: 0.758 | Ratio: 2.4 | Time: 1166.6
iter: 26 | TL: 1.645 | VL: 0.777 | Vacc: 0.745 | Ratio: 2.12 | Time: 1173.8
iter: 27 | TL: 1.624 | VL: 0.671 | Vacc: 0.775 | Ratio: 2.42 | Time: 1178.7
iter: 28 | TL: 1.598 | VL: 0.705 | Vacc: 0.772 | Ratio: 2.26 | Time: 1176.8
iter: 29 | TL: 1.572 | VL: 0.646 | Vacc: 0.777 | Ratio: 2.43 | Time: 1157.8
iter: 30 | TL: 1.545 | VL: 0.611 | Vacc: 0.792 | Ratio: 2.53 | Time: 798.4
iter: 31 | TL: 1.525 | VL: 0.66 | Vacc: 0.786 | Ratio: 2.31 | Time: 567.1
iter: 32 | TL: 1.492 | VL: 0.651 | Vacc: 0.777 | Ratio: 2.29 | Time: 561.9
iter: 33 | TL: 1.476 | VL: 0.7 | Vacc: 0.768 | Ratio: 2.11 | Time: 566.8
iter: 34 | TL: 1.454 | VL: 0.653 | Vacc: 0.783 | Ratio: 2.23 | Time: 588.8
iter: 35 | TL: 1.428 | VL: 0.664 | Vacc: 0.787 | Ratio: 2.15 | Time: 683.4
iter: 36 | TL: 1.408 | VL: 0.612 | Vacc: 0.81 | Ratio: 2.3 | Time: 688.8
iter: 37 | TL: 1.38 | VL: 0.576 | Vacc: 0.801 | Ratio: 2.4 | Time: 688.2
iter: 38 | TL: 1.37 | VL: 0.569 | Vacc: 0.813 | Ratio: 2.41 | Time: 687.8
iter: 39 | TL: 1.347 | VL: 0.57 | Vacc: 0.812 | Ratio: 2.36 | Time: 1034.6
iter: 40 | TL: 1.334 | VL: 0.615 | Vacc: 0.799 | Ratio: 2.17 | Time: 1095.1
iter: 41 | TL: 1.31 | VL: 0.585 | Vacc: 0.818 | Ratio: 2.24 | Time: 1093.1
iter: 42 | TL: 1.295 | VL: 0.59 | Vacc: 0.81 | Ratio: 2.19 | Time: 966.9
iter: 43 | TL: 1.271 | VL: 0.57 | Vacc: 0.815 | Ratio: 2.23 | Time: 679.5
iter: 44 | TL: 1.263 | VL: 0.567 | Vacc: 0.823 | Ratio: 2.23 | Time: 666.7
iter: 45 | TL: 1.246 | VL: 0.635 | Vacc: 0.806 | Ratio: 1.96 | Time: 659.6
iter: 46 | TL: 1.226 | VL: 0.609 | Vacc: 0.807 | Ratio: 2.01 | Time: 664.9
iter: 47 | TL: 1.207 | VL: 0.573 | Vacc: 0.821 | Ratio: 2.11 | Time: 709.6
