Using gpu device 1: Tesla K40m (CNMeM is disabled, cuDNN 4007)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train shape: (4500, 131, 32, 32) Test shape: (500, 131, 32, 32)
Train y shape: (4500,) Test y shape: (500,)
255.0 -141.247 18.7284
iter: 0 | TL: 3.588 | VL: 2.276 | Vacc: 0.117 | Ratio: 1.58 | Time: 143.6
iter: 1 | TL: 3.418 | VL: 2.39 | Vacc: 0.123 | Ratio: 1.43 | Time: 145.0
iter: 2 | TL: 3.293 | VL: 2.326 | Vacc: 0.165 | Ratio: 1.42 | Time: 144.8
iter: 3 | TL: 3.221 | VL: 2.076 | Vacc: 0.224 | Ratio: 1.55 | Time: 142.3
iter: 4 | TL: 3.15 | VL: 2.507 | Vacc: 0.197 | Ratio: 1.26 | Time: 141.9
iter: 5 | TL: 3.074 | VL: 2.009 | Vacc: 0.273 | Ratio: 1.53 | Time: 142.3
iter: 6 | TL: 3.031 | VL: 1.749 | Vacc: 0.333 | Ratio: 1.73 | Time: 142.4
iter: 7 | TL: 2.975 | VL: 2.307 | Vacc: 0.21 | Ratio: 1.29 | Time: 143.9
iter: 8 | TL: 2.933 | VL: 2.003 | Vacc: 0.274 | Ratio: 1.46 | Time: 145.4
iter: 9 | TL: 2.893 | VL: 1.68 | Vacc: 0.382 | Ratio: 1.72 | Time: 141.7
iter: 10 | TL: 2.841 | VL: 1.635 | Vacc: 0.405 | Ratio: 1.74 | Time: 141.8
iter: 11 | TL: 2.798 | VL: 1.643 | Vacc: 0.376 | Ratio: 1.7 | Time: 142.8
iter: 12 | TL: 2.787 | VL: 1.614 | Vacc: 0.443 | Ratio: 1.73 | Time: 141.5
iter: 13 | TL: 2.74 | VL: 1.766 | Vacc: 0.391 | Ratio: 1.55 | Time: 141.6
iter: 14 | TL: 2.724 | VL: 2.2 | Vacc: 0.269 | Ratio: 1.24 | Time: 141.6
iter: 15 | TL: 2.701 | VL: 1.607 | Vacc: 0.457 | Ratio: 1.68 | Time: 141.6
iter: 16 | TL: 2.678 | VL: 1.582 | Vacc: 0.449 | Ratio: 1.69 | Time: 141.5
iter: 17 | TL: 2.645 | VL: 1.489 | Vacc: 0.465 | Ratio: 1.78 | Time: 141.6
iter: 18 | TL: 2.632 | VL: 1.592 | Vacc: 0.445 | Ratio: 1.65 | Time: 141.6
iter: 19 | TL: 2.605 | VL: 1.653 | Vacc: 0.434 | Ratio: 1.58 | Time: 141.3
iter: 20 | TL: 2.576 | VL: 1.495 | Vacc: 0.461 | Ratio: 1.72 | Time: 141.1
iter: 21 | TL: 2.553 | VL: 1.4 | Vacc: 0.497 | Ratio: 1.82 | Time: 141.5
iter: 22 | TL: 2.518 | VL: 1.475 | Vacc: 0.517 | Ratio: 1.71 | Time: 141.0
iter: 23 | TL: 2.526 | VL: 1.693 | Vacc: 0.422 | Ratio: 1.49 | Time: 141.9
iter: 24 | TL: 2.493 | VL: 1.448 | Vacc: 0.497 | Ratio: 1.72 | Time: 141.0
iter: 25 | TL: 2.454 | VL: 1.474 | Vacc: 0.471 | Ratio: 1.67 | Time: 140.6
iter: 26 | TL: 2.444 | VL: 1.441 | Vacc: 0.487 | Ratio: 1.7 | Time: 140.7
iter: 27 | TL: 2.41 | VL: 1.637 | Vacc: 0.461 | Ratio: 1.47 | Time: 140.8
iter: 28 | TL: 2.412 | VL: 1.538 | Vacc: 0.478 | Ratio: 1.57 | Time: 140.7
iter: 29 | TL: 2.376 | VL: 1.484 | Vacc: 0.501 | Ratio: 1.6 | Time: 142.3
iter: 30 | TL: 2.36 | VL: 1.416 | Vacc: 0.511 | Ratio: 1.67 | Time: 141.2
iter: 31 | TL: 2.329 | VL: 1.63 | Vacc: 0.53 | Ratio: 1.43 | Time: 141.3
iter: 32 | TL: 2.329 | VL: 1.657 | Vacc: 0.476 | Ratio: 1.41 | Time: 141.1
iter: 33 | TL: 2.302 | VL: 1.565 | Vacc: 0.463 | Ratio: 1.47 | Time: 141.1
iter: 34 | TL: 2.294 | VL: 1.439 | Vacc: 0.527 | Ratio: 1.59 | Time: 141.1
iter: 35 | TL: 2.266 | VL: 1.394 | Vacc: 0.529 | Ratio: 1.62 | Time: 142.1
iter: 36 | TL: 2.265 | VL: 1.478 | Vacc: 0.502 | Ratio: 1.53 | Time: 143.4
iter: 37 | TL: 2.228 | VL: 1.498 | Vacc: 0.492 | Ratio: 1.49 | Time: 142.0
iter: 38 | TL: 2.209 | VL: 1.699 | Vacc: 0.487 | Ratio: 1.3 | Time: 144.6
iter: 39 | TL: 2.211 | VL: 1.549 | Vacc: 0.493 | Ratio: 1.43 | Time: 141.5
iter: 40 | TL: 2.216 | VL: 1.462 | Vacc: 0.55 | Ratio: 1.52 | Time: 141.2
iter: 41 | TL: 2.176 | VL: 1.649 | Vacc: 0.463 | Ratio: 1.32 | Time: 141.5
iter: 42 | TL: 2.16 | VL: 1.52 | Vacc: 0.528 | Ratio: 1.42 | Time: 140.9
